2013,08,22,0,0,0,34,98
2013,08,22,1,0,0,33,57
2013,08,22,2,0,0,32,87
2013,08,22,3,0,0,33,34
2013,08,22,4,0,0,33,71
2013,08,22,5,0,0,36,10
2013,08,22,6,0,0,43,40
2013,08,22,7,0,0,57,61
2013,08,22,8,0,0,65,56
2013,08,22,9,0,0,69,55
2013,08,22,10,0,0,74,32
2013,08,22,11,0,0,74,33
2013,08,22,12,0,0,72,81
2013,08,22,13,0,0,69,08
2013,08,22,14,0,0,62,18
2013,08,22,15,0,0,52,22
2013,08,22,16,0,0,52,10
2013,08,22,17,0,0,57,53
2013,08,22,18,0,0,57,63
2013,08,22,19,0,0,53,97
2013,08,22,20,0,0,54,18
2013,08,22,21,0,0,52,75
2013,08,22,22,0,0,46,60
2013,08,22,23,0,0,41,80
